Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-06-27 19:23:02,2022-06-27 19:23:05,2.401s,PASSED
"navigateToUrl(""http://localhost:3001/login"")",Chrome 103.0.5060.53,,,2022-06-27 19:23:05,2022-06-27 19:23:07,1.932s,PASSED
"setText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_username""), ""devshelly"")",Chrome 103.0.5060.53,,,2022-06-27 19:23:07,2022-06-27 19:23:08,1.014s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/input_login_password""), ""bD8Rq1FIAurX2vfab/lFTQ=="")",Chrome 103.0.5060.53,,,2022-06-27 19:23:08,2022-06-27 19:23:08,0.561s,PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-06-27 19:23:08,2022-06-27 19:23:09,0.143s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Login/button_login""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:09,2022-06-27 19:23:09,0.436s,PASSED
"click(findTestObject(""Object Repository/Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:09,2022-06-27 19:23:12,2.992s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Tab Release Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:12,2022-06-27 19:23:13,1.339s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Button Filters""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:13,2022-06-27 19:23:31,17.776s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Filters by No SO""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:31,2022-06-27 19:23:32,0.515s,PASSED
noSalesOrder = noSalesOrderBoxLayer,Chrome 103.0.5060.53,,,2022-06-27 19:23:32,2022-06-27 19:23:32,0.001s,PASSED
"setText(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Filters by No SO""), noSalesOrder)",Chrome 103.0.5060.53,,,2022-06-27 19:23:32,2022-06-27 19:23:32,0.907s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button Search in Filters""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:32,2022-06-27 19:23:33,0.621s,PASSED
"scrollToElement(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button Search in Filters""), 30)",Chrome 103.0.5060.53,,,2022-06-27 19:23:33,2022-06-27 19:23:34,0.900s,PASSED
delay(5),Chrome 103.0.5060.53,,,2022-06-27 19:23:34,2022-06-27 19:23:39,5.014s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Release""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:39,2022-06-27 19:23:40,0.564s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button Ya for Release Sales Order""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:40,2022-06-27 19:23:41,0.925s,PASSED
"scrollToElement(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Assign""), 30)",Chrome 103.0.5060.53,,,2022-06-27 19:23:41,2022-06-27 19:23:42,1.306s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/Assign""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:42,2022-06-27 19:23:42,0.515s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order/button_Ya""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:42,2022-06-27 19:23:43,0.580s,PASSED
delay(5),Chrome 103.0.5060.53,,,2022-06-27 19:23:43,2022-06-27 19:23:48,5.004s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Tab Sales""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:48,2022-06-27 19:23:50,2.141s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order - Approval/Tab Release Sales Order - Approval""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:50,2022-06-27 19:23:51,0.942s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order - Approval/Approve""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:51,2022-06-27 19:23:52,0.970s,PASSED
"click(findTestObject(""Page_SKT ERP  ERP/Tab Sales/Release Sales Order - Approval/button Ya for Approve""))",Chrome 103.0.5060.53,,,2022-06-27 19:23:52,2022-06-27 19:23:53,0.563s,PASSED
delay(5),Chrome 103.0.5060.53,,,2022-06-27 19:23:53,2022-06-27 19:23:58,5.008s,PASSED
closeBrowser(),Chrome 103.0.5060.53,,,2022-06-27 19:23:58,2022-06-27 19:23:58,0.761s,PASSED
